id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
339973,TH-0018,small_airport,Pran Buri Airport,12.38962,99.95801,,AS,Thailand,TH,Prachuap Khiri Khan Province,TH-77,77,Pran Buri,0,,,,,,,50,2021-01-21T15:35:24+00:00
339971,TH-0016,small_airport,Camp Burachat (Sanam Luang) Airfield,13.57376,99.75296,,AS,Thailand,TH,Ratchaburi Province,TH-70,70,Ratchaburi,0,,,,,,,50,2021-01-21T15:32:42+00:00
339974,TH-0019,small_airport,Ratthaphum Airfield,7.1349,100.33063,,AS,Thailand,TH,Songkhla Province,TH-90,90,Rattaphum,0,,,,,,,50,2021-01-21T15:39:33+00:00
429718,TH-0039,small_airport,Hinzon Airport,13.77697,101.61345,,AS,Thailand,TH,Prachin Buri Province,TH-25,25,Si Maha Phot,0,,,,,,,50,2022-09-04T13:51:34+00:00
339972,TH-0017,small_airport,Kaeng Krachan Airfield,12.87173,99.79265,,AS,Thailand,TH,Phetchabun Province,TH-67,67,Tha Yang,0,,,,,,,50,2021-01-21T15:34:15+00:00
32560,VTPU,small_airport,Uttaradit Airport,17.61700058,100.0999985,262,AS,Thailand,TH,Uttaradit Province,TH-53,53,Uttaradit,0,VTPU,UTR,,,,,50,2008-08-03T11:51:36+00:00
26646,VTBW,small_airport,Watthana Nakhon Airport,13.769203,102.316017,200,AS,Thailand,TH,Sa Kaeo Province,TH-27,27,Watthana Nakhon,0,VTBW,,,,,,50,2022-11-26T22:20:06+00:00
504798,TH-0041,heliport,Skydance Helipad,8.0779,98.3017,,AS,Thailand,TH,Phuket Province,TH-83,83,,0,,,,,,,0,2022-11-13T02:31:05+00:00
339964,TH-0009,heliport,Khao Khitchakut Heliport,12.836021,102.168767,,AS,Thailand,TH,Chanthaburi Province,TH-22,22,Khao Khitchakut,0,,,,,,,0,2021-01-21T15:00:36+00:00
356370,TH-0031,closed,Ko Pha-ngan Airport,9.741118,100.070686,900,AS,Thailand,TH,Surat Thani Province,TH-84,84,Pha-ngan Island,0,,,,,https://en.wikipedia.org/wiki/Ko_Pha-ngan_Airport,,0,2022-08-28T13:05:49+00:00
339975,TH-0020,heliport,Khuan Timun Helipad,6.83411,101.02211,,AS,Thailand,TH,Songkhla Province,TH-90,90,Thepha,0,,,,,,,0,2021-01-21T15:42:09+00:00
